,ticker,filing_date,html_link,text_link
0,CBRE,2015-03-02,https://www.sec.gov/Archives/edgar/data/1138118/0001193125-15-073030-index.html,https://www.sec.gov/Archives/edgar/data/1138118/0001193125-15-073030.txt
1,CDW,2011-03-04,https://www.sec.gov/Archives/edgar/data/1402057/0001193125-11-056194-index.html,https://www.sec.gov/Archives/edgar/data/1402057/0001193125-11-056194.txt
2,CE,2007-02-21,https://www.sec.gov/Archives/edgar/data/1306830/0000950123-07-002533-index.html,https://www.sec.gov/Archives/edgar/data/1306830/0000950123-07-002533.txt
3,CE,2008-02-29,https://www.sec.gov/Archives/edgar/data/1306830/0000950123-08-002318-index.html,https://www.sec.gov/Archives/edgar/data/1306830/0000950123-08-002318.txt
4,CNC,2007-02-23,https://www.sec.gov/Archives/edgar/data/1071739/0001071739-07-000012-index.html,https://www.sec.gov/Archives/edgar/data/1071739/0001071739-07-000012.txt
5,CNP,2007-02-28,https://www.sec.gov/Archives/edgar/data/1130310/0000950134-07-004335-index.html,https://www.sec.gov/Archives/edgar/data/1130310/0000950134-07-004335.txt
6,CNP,2008-02-28,https://www.sec.gov/Archives/edgar/data/1130310/0000950134-08-003670-index.html,https://www.sec.gov/Archives/edgar/data/1130310/0000950134-08-003670.txt
7,CNP,2009-02-25,https://www.sec.gov/Archives/edgar/data/1130310/0001130310-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/1130310/0001130310-09-000004.txt
8,CNP,2010-02-26,https://www.sec.gov/Archives/edgar/data/1130310/0001130310-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130310/0001130310-10-000006.txt
9,CNP,2011-03-01,https://www.sec.gov/Archives/edgar/data/1130310/0001130310-11-000006-index.html,https://www.sec.gov/Archives/edgar/data/1130310/0001130310-11-000006.txt
10,CTL,1997-03-17,https://www.sec.gov/Archives/edgar/data/18926/0000018926-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/18926/0000018926-97-000001.txt
11,CTL,2000-03-15,https://www.sec.gov/Archives/edgar/data/18926/0000018926-00-000003-index.html,https://www.sec.gov/Archives/edgar/data/18926/0000018926-00-000003.txt
12,CTL,2001-03-22,https://www.sec.gov/Archives/edgar/data/18926/0000018926-01-000002-index.html,https://www.sec.gov/Archives/edgar/data/18926/0000018926-01-000002.txt
13,CTL,2002-03-15,https://www.sec.gov/Archives/edgar/data/18926/0000018926-02-000003-index.html,https://www.sec.gov/Archives/edgar/data/18926/0000018926-02-000003.txt
14,CTL,2003-03-27,https://www.sec.gov/Archives/edgar/data/18926/0000018926-03-000005-index.html,https://www.sec.gov/Archives/edgar/data/18926/0000018926-03-000005.txt
15,CTL,2004-03-12,https://www.sec.gov/Archives/edgar/data/18926/0000018926-04-000018-index.html,https://www.sec.gov/Archives/edgar/data/18926/0000018926-04-000018.txt
16,CTL,2006-03-16,https://www.sec.gov/Archives/edgar/data/18926/0000018926-06-000018-index.html,https://www.sec.gov/Archives/edgar/data/18926/0000018926-06-000018.txt
